TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Binned,CustomerAge_Binned,Target
14.089999999999975,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,TA_Bin_1,Senior,3
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,TA_Bin_3,Senior,0
126.29000000000002,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.3499999999995,2024-11-04 08:07:04,TA_Bin_2,Youth,1
184.5,Debit,Raleigh,Online,26.0,Student,24.999999999999986,1.0,8569.06,2024-11-04 08:09:06,TA_Bin_2,Youth,3
13.449999999999989,Credit,Atlanta,Online,26.0,Student,198.0,1.0,7429.4,2024-11-04 08:06:39,TA_Bin_1,Youth,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,TA_Bin_2,Youth,1
7.079999999999984,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,2024-11-04 08:10:09,TA_Bin_1,Adult,0
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,2024-11-04 08:10:55,TA_Bin_2,Senior,2
106.23000000000002,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,2024-11-04 08:11:14,TA_Bin_2,Adult,2
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000006,2024-11-04 08:06:32,TA_Bin_4,Senior,1
17.779999999999973,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,2024-11-04 08:06:45,TA_Bin_1,Adult,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,TA_Bin_2,Youth,1
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,2024-11-04 08:08:38,TA_Bin_4,Youth,3
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,TA_Bin_4,Youth,1
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,TA_Bin_2,Youth,0
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,TA_Bin_4,Adult,2
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000002,2024-11-04 08:07:35,TA_Bin_4,Youth,1
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,TA_Bin_4,Adult,2
18.680000000000007,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,2024-11-04 08:12:01,TA_Bin_1,Senior,2
71.48000000000002,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,2024-11-04 08:09:20,TA_Bin_1,Youth,0
59.31999999999999,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24,TA_Bin_1,Senior,0
85.76999999999998,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,TA_Bin_2,Adult,3
52.19999999999999,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 08:07:01,TA_Bin_1,Adult,1
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,TA_Bin_2,Youth,1
7.490000000000009,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,2024-11-04 08:09:44,TA_Bin_1,Senior,0
40.31999999999999,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,TA_Bin_1,Adult,2
127.44999999999999,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,TA_Bin_2,Adult,2
